Title,Date,Description,Place,Location,Media,Source URL,EventId,CalendarId
"John Rylands Library","01/01/1900","The John Rylands Library is a late-Victorianneo-Gothic building on Deansgate in Manchester, England. The library, which opened to the public in 1900, was founded by Enriqueta Augustina Rylands in memory of her husband, John Rylands. The John Rylands Library and the library of the University of Manchester merged in July 1972 into the John Rylands University Library of Manchester; today it is part of The University of Manchester Library.The architectural style is primarily neo-Gothic with elements of Arts and Crafts Movement in the ornate and imposing gatehouse facing Deansgate which dominates the surrounding streetscape. The library, granted Grade I listed status in 1994, is maintained by the University of Manchester and open for library readers and visitors.","Manchester","53.480480, -2.248751","https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/John_Rylands_Library_1.jpg/440px-John_Rylands_Library_1.jpg","https://en.wikipedia.org/wiki/John_Rylands_Library",leave it blank,leave it blank
"Literary and Philosophical Society of Manchester","28/02/1781","Established in 1781 as the Literary and Philosophical Society of Manchester, by Thomas Percival, Thomas Barnes and Thomas Henry, other prominent members have included Robert Owen, John Dalton, James Prescott Joule, Tom Kilburn, Peter Mark Roget, Ernest Rutherford and Joseph Whitworth. The first formal meeting of the society took place on 14 March 1781. Meetings were held in a back room of the Cross Street Chapel until December 1799, after which the society moved into its own premises in George Street.","Manchester","53.482478, -2.247528","https://manlitphil-ac-uk.cdn.gofasterstripes.download/sites/default/files/styles/inline_body_half_width/public/George%20Street%20Library.jpg?itok=JzQ_QXis","https://en.wikipedia.org/wiki/Manchester_Literary_and_Philosophical_Society",leave it blank,leave it blank
"Creation of a Northern University","20/03/1640","Fairfax took an active part in the unsuccessful movement, about 1640, to obtain the foundation of a university for the north. Petitions were sent up to parliament urging the necessity of such a seat of learning. York and Manchester competed warmly for the honour of receiving it. Fairfax wrote to his brother Ferdinando, then second Lord Fairfax, 20 March 1641, asking for his influence. ","Manchester","53.936953, -1.779089","https://upload.wikimedia.org/wikipedia/commons/c/c8/General_Thomas_Fairfax_%281612-1671%29_by_Robert_Walker_and_studio.jpg","https://en.wikipedia.org/wiki/Henry_Fairfax_(academic)",leave it blank,leave it blank
"Owens college becomes part of the federal Victoria University","20/04/1880","Owens College became the first affiliate college of the federal Victoria University in 1880. In 1884, University College Liverpool also joined the Victoria University, followed in 1887 by the Yorkshire College in Leeds. In 1903, University College Liverpool left the Victoria University to become the independent University of Liverpool; Leeds followed in 1904 to become the University of Leeds.","Manchester","53.458966, -2.265610","https://upload.wikimedia.org/wikipedia/commons/c/c3/Victoria_Univ_Manchester_-_Coat_of_Arms.jpg","https://en.wikipedia.org/wiki/Victoria_University_of_Manchester",leave it blank,leave it blank
"Civil War","16/05/1644","In Northern England, the Royalists had the advantage in numbers and local support, except in parts of Lancashire and the West Riding of Yorkshire, where the Parliamentarians had support from the clothing-manufacturing towns which ""naturally maligned the gentry"". On 30 June 1643, the Royalists commanded by the Marquess of Newcastle defeated the Parliamentarian army of Lord Fairfax at the Battle of Adwalton Moor near Bradford. Fairfax and his son, Sir Thomas Fairfax, fled with their remaining forces to the port of Hull, which was held for Parliament.","Manchester","53.401450, -2.240977","https://upload.wikimedia.org/wikipedia/commons/d/de/Battle_of_Marston_Moor%2C_1644.png","https://en.wikipedia.org/wiki/Battle_of_Marston_Moor",leave it blank,leave it blank
"Alan Turing commits suicide ","07/06/1954","Turing died in 1954, 16 days before his 42nd birthday, from cyanide poisoning. An inquest determined his death as a suicide, but it has been noted that the known evidence is also consistent with accidental poisoning.","Manchester","53.476674, -2.236047","https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/Alan_Turing_Aged_16.jpg/440px-Alan_Turing_Aged_16.jpg","https://en.wikipedia.org/wiki/Alan_Turing",leave it blank,leave it blank
"Death of John Dalton","27/07/1844","John Dalton was an English chemist, physicist, and meteorologist. He is best known for introducing the atomic theory into chemistry, and for his research into colour blindness, sometimes referred to as Daltonism in his honour. His body lies in honour in the Town Hall and more than 40,000 people file past his coffin","Manchester","53.479355, -2.244605","https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/John_Dalton_by_Charles_Turner.jpg/440px-John_Dalton_by_Charles_Turner.jpg","https://en.wikipedia.org/wiki/John_Dalton",leave it blank,leave it blank
"The Bridgewater Canal is extended to Castlefield","01/08/1765","Castlefield was the terminus of the Bridgewater Canal, the world's first industrial canal, built in 1764; the oldest canal warehouse opened in 1779. The world's first passenger railway terminated here in 1830, at Liverpool Road railway station and the first railway warehouse opened here in 1831.","Manchester","53.474632, -2.256802","https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Beetham_Tower%2C_Manchester_01639.jpg/340px-Beetham_Tower%2C_Manchester_01639.jpg","https://en.wikipedia.org/wiki/Castlefield",leave it blank,leave it blank
"The first Member of Parliament for Manchester","03/09/1654","Charles Worsles was an English soldier and politician. He was an ardent supporter of Oliver Cromwell and was an officer in the Parliamentary army during the English Civil War and the Commonwealth of England. He sat in the House of Commons in 1654 and governed a district during the Rule of the Major-Generals.","Manchester","53.454954, -2.228115","https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Major-General_Charles_Worsley_%281622-1656%29.jpg/440px-Major-General_Charles_Worsley_%281622-1656%29.jpg","https://en.wikipedia.org/wiki/Charles_Worsley",leave it blank,leave it blank
"Royal Manchester Institution established","01/10/1823","The Royal Manchester Institution (RMI) was an English learned society founded on 1 October 1823 at a public meeting held in the Exchange Room by Manchester merchants, local artists and others keen to dispel the image of Manchester as a city lacking in culture and taste.
The Institution was housed in a building in Mosley Street designed by Charles Barry in 1824. Construction of the building began in 1825, and was completed in 1835, at a cost of £30,000. A Grade I listed building, it is his only public building in the Greek neo-classical style. The Institution held regular art exhibitions, collected works of fine art and promoted the arts generally from the 1820s until 1882, when the building and its collections were transferred under Act of Parliament to Manchester Corporation, becoming Manchester Art Gallery.","Manchester","53.478795, -2.241416","https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/Manchester_Art_Gallery%2C_Mosley_Street.jpg/440px-Manchester_Art_Gallery%2C_Mosley_Street.jpg","https://en.wikipedia.org/wiki/Royal_Manchester_Institution",leave it blank,leave it blank
