Title,Date,Description,Place,Location,Media,Source URL
"Apple Computer is incorporated","03/01/1977","Apple Computer, Inc. was incorporated on January 3, 1977, without Wayne, who had left and sold his share of the company back to Jobs and Wozniak for $800 only twelve days after having co-founded Apple.","Los Altos, California","37.386663, -122.114176","https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Apple_logo_black.svg/80px-Apple_logo_black.svg.png","https://en.wikipedia.org/wiki/Apple_Inc."
"Java is introduced by Sun Microsystems","01/02/1991","Java is a general-purpose programming language that is class-based, object-oriented, and designed to have as few implementation dependencies as possible. It is intended to let application developers write once, run anywhere (WORA), meaning that compiled Java code can run on all platforms that support Java without the need for recompilation. Java applications are typically compiled to bytecode that can run on any Java virtual machine (JVM) regardless of the underlying computer architecture.","Redwood Shores, California, United States","37.529738, -122.265727","https://upload.wikimedia.org/wikipedia/en/thumb/3/30/Java_programming_language_logo.svg/283px-Java_programming_language_logo.svg.png","https://en.wikipedia.org/wiki/Java_(programming_language)"
"First Tweet is sent","21/03/2006","The first tweet was posted by Jack Dorsey (creator) at 12:50 PM PST on March 21, 2006 and read ""just setting up my twttr"".","San Francisco, California, United States","37.776659, -122.417104","https://upload.wikimedia.org/wikipedia/en/thumb/9/9f/Twitter_bird_logo_2012.svg/200px-Twitter_bird_logo_2012.svg.png","https://en.wikipedia.org/wiki/Twitter"
"Windows 3.1 released","06/04/1992","Windows 3.1, released on April 6, 1992, introduced a TrueType font system (and a set of highly legible fonts), which effectively made Windows a viable desktop publishing platform for the first time. Similar functionality was available for Windows 3.0 through Adobe Type Manager (ATM) font system from Adobe.","California","38.579234, -121.488475","https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Windows_logo_-_1992.svg/120px-Windows_logo_-_1992.svg.png","https://en.wikipedia.org/wiki/Windows_3.1x"
"Inventor of Interactive Computer Graphics is born","16/05/1938","Ivan Edward Sutherland (born May 16, 1938) is an American computer scientist and Internet pioneer, widely regarded as the ""father of computer graphics"". His early work in computer graphics as well as his teaching with David C. Evans in that subject at the University of Utah in the 1970s was pioneering in the field. Sutherland, Evans, and their students from that era invented several foundations of modern computer graphics.","Hastings, Nebraska, United States","40.586739, -98.391746","https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Ivan_Sutherland_at_CHM.jpg/220px-Ivan_Sutherland_at_CHM.jpg","https://en.wikipedia.org/wiki/Ivan_Sutherland"
"Blaise Pascal is born","19/06/1623","In honour of his scientific contributions, the name Pascal has been given to the SI unit of pressure, to a programming language, and Pascal's law (an important principle of hydrostatics), and as mentioned above, Pascal's triangle and Pascal's wager still bear his name.","Clermont-Ferrand, France","45.777187, 3.087543","https://upload.wikimedia.org/wikipedia/commons/thumb/9/98/Blaise_Pascal_Versailles.JPG/220px-Blaise_Pascal_Versailles.JPG","https://en.wikipedia.org/wiki/Blaise_Pascal"
"Internet Explorer promotion","26/07/1996","AT&T and Microsoft ally to promote Internet Explorer. Internet Explorer was once the most widely used web browser, attaining a peak of about 95% usage share by 2003. This came after Microsoft used bundling to win the first browser war against Netscape, which was the dominant browser in the 1990s. Its usage share has since declined with the launch of Firefox (2004) and Google Chrome (2008), and with the growing popularity of operating systems such as Android and iOS that do not support Internet Explorer.","Austin, United States","30.401716, -97.726920","https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Internet_Explorer_9_icon.svg/64px-Internet_Explorer_9_icon.svg.png","https://en.wikipedia.org/wiki/Internet_Explorer"
"IBM introduces PC","12/08/1981","The IBM PC, originally designated IBM 5150, was introduced in 1981, and it soon became an industry standard. In 1991 IBM spun out its printer manufacturing into a new business called Lexmark.","Armonk, New York","41.108548, -73.720543","https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/IBM_logo.svg/250px-IBM_logo.svg.png","https://en.wikipedia.org/wiki/IBM_SSEC"
"Osborne Computer goes bankrupt","13/09/1983","When it was apparent that the company would be closing down, a company meeting was held with all employees. The first round of layoffs involved sales staff, production staff, domestic marketing and most mid to low-level clerical support. These employees were presented with their paychecks only. The management that remained was primarily from the international marketing division.","Silicon Valley, San Francisco, United States","37.774235, -122.417345","https://upload.wikimedia.org/wikipedia/en/thumb/b/be/Osborne_logo.svg/500px-Osborne_logo.svg.png","https://en.wikipedia.org/wiki/Osborne_Computer_Corporation"
"First Ubuntu Linux Distribution is released","20/10/2004","Ubuntu (/ʊˈbʊntuː/ (About this soundlisten) uu-BUUN-too) is a free and open-source Linux distribution based on Debian.[9] Ubuntu is officially released in three editions: Desktop, Server, and Core for the internet of things devices  and robots. All the editions can run on the computer alone, or in a virtual machine. Ubuntu is a popular operating system for cloud computing, with support for OpenStack.","London, United Kingdom","51.507379, -0.127379","https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Logo-ubuntu_no%28r%29-black_orange-hex.svg/250px-Logo-ubuntu_no%28r%29-black_orange-hex.svg.png","https://en.wikipedia.org/wiki/Ubuntu"
